eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord,shotAssist
pass,successful,outlet,275.9,outsideNorthEastDZ,dz,shortHanded,0,311,1312,80264,-85.30992126,-11.3147049,0
reception,successful,regular,276.53333,eastOuterSlotDZ,dz,shortHanded,0,311,1731661,80264,-66.19816589,-17.85293961,0
pass,failed,northoffboards,291.5,centerPoint,oz,powerPlay,0,315,126723,5152,31.99031067,-12.82646942,0
pass,successful,d2doffboards,294.16666,outsideNorthEastDZ,dz,shortHanded,0,311,108339,80264,-98.38639832,-5.279411316,0
reception,successful,regular,295.1,outsideNorthEastDZ,dz,shortHanded,0,311,2546838,80264,-90.33934021,-33.94705963,0
pass,successful,northoffboards,297.2,eastPoint,oz,powerPlay,0,315,20775372,5152,42.55206299,38.473526,0
reception,successful,regular,298.8,outsideNorthEast,oz,powerPlay,0,315,126723,5152,85.80500793,33.94705963,0
pass,failed,slot,299.36667,outsideNorthEast,oz,powerPlay,0,315,126723,5152,82.78736877,34.95294189,0
pass,successful,northoffboards,300.66666,outsideNorthEast,oz,powerPlay,0,315,82048,5152,71.21970367,25.39710045,0
reception,successful,regular,301.9,outsideNorthEast,oz,powerPlay,0,315,126723,5152,91.84030151,25.39710045,0
pass,successful,south,303.3,outsideNorthEast,oz,powerPlay,0,315,126723,5152,82.28442383,35.95882416,0
reception,successful,regular,303.8,outsideNorthEast,oz,powerPlay,0,315,82048,5152,74.23736572,24.39117432,0
pass,failed,slot,304.26666,outsideNorthEast,oz,powerPlay,0,315,82048,5152,77.25500488,17.34999847,0
shot,failed,outsideblocked,306.9,outsideNorthWest,oz,powerPlay,0,315,81408,5152,57.64030457,-35.45882416,0
pass,successful,outlet,311.03333,westPointDZ,dz,evenStrength,0,311,446706,80264,-41.54618835,39.48235321,0
reception,successful,regular,311.4,southEastBoardsNZ,nz,evenStrength,0,311,2546838,80264,-23.94324493,31.93823624,0
pass,successful,south,315.63333,outsideNorthWest,oz,powerPlay,0,311,111452,80264,72.11849976,-38.97650146,0
reception,successful,regular,316.83334,westPoint,oz,powerPlay,0,311,94531,80264,28.36264038,-39.47940826,0
pass,successful,eastwest,317.16666,westPoint,oz,powerPlay,0,311,94531,80264,28.36264038,-39.47940826,0
reception,successful,regular,317.9,eastPoint,oz,powerPlay,0,311,112050,80264,31.88322449,20.87352943,0
pass,failed,eastwest,318.43332,eastPoint,oz,powerPlay,0,311,112050,80264,31.38028717,21.37647057,0
pass,successful,south,320.43332,northWestBoardsNZ,nz,powerPlay,0,311,370192,80264,14.28030014,-24.89410019,0
reception,successful,regular,321.13333,southWestBoardsNZ,nz,powerPlay,0,311,94531,80264,-10.86677551,-38.97647095,0
pass,successful,eastwest,321.33334,southWestBoardsNZ,nz,powerPlay,0,311,94531,80264,-11.87265778,-38.473526,0
reception,successful,regular,322.53333,southEastBoardsNZ,nz,powerPlay,0,311,112050,80264,-5.837364197,29.92647171,0
pass,successful,south,324.03333,northEastBoardsNZ,nz,powerPlay,0,311,112050,80264,5.227340698,32.9441185,0
reception,successful,regular,324.96667,centerPointDZ,dz,powerPlay,0,311,94531,80264,-33.49913025,4.276470184,0
pass,successful,south,326.83334,southCenterNZ,nz,powerPlay,0,311,94531,80264,-8.855010986,8.802940369,0
reception,successful,regular,327.9,centerPointDZ,dz,powerPlay,0,311,370192,80264,-29.97854614,7.797058105,0
pass,successful,eastwest,329.13333,southCenterNZ,nz,powerPlay,0,311,370192,80264,-4.328536987,-1.758823395,0
reception,successful,regular,329.96667,northEastBoardsNZ,nz,powerPlay,0,311,112050,80264,23.83616638,38.47647095,0
pass,failed,northoffboards,330.86667,eastPoint,oz,powerPlay,0,311,112050,80264,34.39793396,40.48823547,0
pass,successful,d2doffboards,333.2,outsideNorthEastDZ,dz,shortHanded,0,315,20161,5152,-95.75675201,-23.89117622,0
reception,successful,regular,333.9,outsideNorthEastDZ,dz,shortHanded,0,315,41952,5152,-84.69204712,-35.96176529,0
pass,successful,d2d,335.4,outsideNorthEastDZ,dz,shortHanded,0,315,41952,5152,-87.70969391,-33.44705963,0
reception,successful,regular,336.03333,outsideNorthEastDZ,dz,shortHanded,0,315,20161,5152,-90.7273407,-6.288234711,0
pass,successful,d2d,342.76666,outsideNorthWestDZ,dz,powerPlay,0,311,5152,80264,-94.35501099,0.252941132,0
reception,successful,regular,343.46667,innerSlotDZ,dz,powerPlay,0,311,94531,80264,-88.31971741,0.755882263,0
pass,successful,d2d,347.2,eastPointDZ,dz,powerPlay,0,311,94531,80264,-31.48736572,-14.33235168,0
reception,successful,regular,348.8,centerPointDZ,dz,powerPlay,0,311,111452,80264,-46.57559204,0.755882263,0
pass,failed,eastwest,350.66666,southCenterNZ,nz,powerPlay,0,311,111452,80264,-6.84324646,6.288234711,0
pass,successful,northoffboards,354.2,outsideNorthWest,oz,powerPlay,0,311,111452,80264,72.62145996,-39.98235321,0
reception,successful,regular,357.4,outsideNorthEast,oz,powerPlay,0,311,370192,80264,92.73910522,28.41764641,0
pass,successful,south,357.93332,outsideNorthEast,oz,powerPlay,0,311,370192,80264,80.66851807,35.45882416,0
reception,successful,regular,358.66666,eastPoint,oz,powerPlay,0,311,112050,80264,39.93028641,33.95000076,0
pass,successful,eastwest,359.3,eastPoint,oz,powerPlay,0,311,112050,80264,38.92440414,33.95000076,0
reception,successful,regular,360.06668,centerPoint,oz,powerPlay,0,311,94531,80264,30.36654663,-5.279411316,0
pass,successful,north,361.2,westPoint,oz,powerPlay,0,311,94531,80264,30.86948395,-21.87647247,0
reception,successful,regular,361.93332,outsideNorthWest,oz,powerPlay,0,311,111452,80264,69.09301758,-33.94705963,0
pass,successful,south,362.8,outsideNorthWest,oz,powerPlay,0,311,111452,80264,59.53713226,-37.97058868,0
reception,successful,regular,363.5,westPoint,oz,powerPlay,0,311,94531,80264,26.34301758,-34.95294189,0
pass,successful,north,364.4,westPoint,oz,powerPlay,0,311,94531,80264,26.8459549,-36.46176147,0
reception,successful,regular,365.26666,westPoint,oz,powerPlay,0,311,111452,80264,48.9753685,-39.47940826,0
pass,failed,slot,366.1,outsideNorthWest,oz,powerPlay,0,311,111452,80264,61.54889679,-27.40882111,0
pass,failed,eastwest,368.33334,westPoint,oz,powerPlay,0,311,94531,80264,31.37242889,-29.92353058,0
reception,failed,regular,368.96667,eastOuterSlot,oz,powerPlay,0,311,370192,80264,57.02242661,15.84411812,0
pass,successful,south,371.26666,eastPoint,oz,powerPlay,0,311,370192,80264,37.9106636,37.97352982,0
reception,successful,regular,371.96667,centerPoint,oz,powerPlay,0,311,94531,80264,32.37831116,1.761764526,0
pass,successful,north,372.86667,centerPoint,oz,powerPlay,0,311,94531,80264,34.893013,2.264705658,0
reception,successful,regular,373.5,eastPoint,oz,powerPlay,0,311,370192,80264,36.40184021,25.90294075,0
pass,successful,slot,375.66666,outsideNorthEast,oz,powerPlay,0,311,370192,80264,69.09301758,33.95000076,0
reception,successful,regular,376.23334,eastOuterSlot,oz,powerPlay,0,311,112050,80264,68.59007263,16.34705925,0
pass,successful,slot,376.56668,eastOuterSlot,oz,powerPlay,0,311,112050,80264,71.1047821,16.34705925,0
reception,successful,regular,377.26666,westOuterSlot,oz,powerPlay,0,311,111452,80264,68.59007263,-20.87059021,0
shot,failed,slotblocked,377.3,westOuterSlot,oz,powerPlay,0,311,111452,80264,69.09301758,-21.87647247,1
pass,successful,stretch,389.3,outsideNorthEastDZ,dz,powerPlay,0,311,94531,80264,-60.16287231,-28.41470337,0
reception,successful,regular,392.36667,northCenterNZ,nz,powerPlay,0,311,5814,80264,20.81066132,1.258823395,0
pass,successful,ozentry,392.5,northCenterNZ,nz,powerPlay,0,311,5814,80264,21.81649971,-1.255879998,0
reception,successful,ozentry,393.2,westPoint,oz,powerPlay,0,311,2546838,80264,39.92242813,-25.39705658,0
pass,successful,d2d,400.2,outsideNorthEastDZ,dz,powerPlay,0,311,5152,80264,-88.83052063,-7.794116974,0
reception,successful,regular,400.83334,outsideNorthEastDZ,dz,powerPlay,0,311,6588,80264,-93.35697937,-3.26764679,0
pass,successful,outlet,403.53333,outsideNorthWestDZ,dz,powerPlay,0,311,6588,80264,-64.68933105,30.42941284,0
reception,successful,regular,404.13333,westPointDZ,dz,powerPlay,0,311,110409,80264,-42.05699158,37.47058868,0
pass,successful,d2d,404.16666,westPointDZ,dz,powerPlay,0,311,110409,80264,-43.06286621,37.97352982,0
reception,successful,regular,405.96667,outsideNorthEastDZ,dz,powerPlay,0,311,237838,80264,-72.23345947,-32.43823242,0
pass,successful,outlet,407.13333,eastPointDZ,dz,powerPlay,0,311,237838,80264,-47.08639526,-37.46764374,0
reception,successful,regular,407.83334,southCenterNZ,nz,powerPlay,0,311,6588,80264,-14.89816284,-18.85882187,0
pass,successful,ozentry,409.36667,northWestBoardsNZ,nz,powerPlay,0,311,6588,80264,9.243011475,-28.91764832,0
reception,successful,ozentry,409.93332,westPoint,oz,powerPlay,0,311,2546838,80264,26.8459549,-37.46764374,0
pass,successful,southoffboards,412.1,outsideNorthWest,oz,powerPlay,0,311,2546838,80264,69.5959549,-37.97058868,0
reception,successful,regular,413.33334,westPoint,oz,powerPlay,0,311,6588,80264,31.87536621,-34.44999695,0
pass,successful,eastwest,415.86667,centerPoint,oz,powerPlay,0,311,6588,80264,33.88713074,-0.752941132,0
reception,successful,regular,416.63333,outsideNorthEast,oz,powerPlay,0,311,110409,80264,56.51948547,35.45882416,0
pass,successful,south,416.9,outsideNorthEast,oz,powerPlay,0,311,110409,80264,55.51360321,34.45294189,0
reception,successful,regular,417.5,centerPoint,oz,powerPlay,0,311,6588,80264,30.36654663,10.8147049,0
pass,successful,north,418.76666,centerPoint,oz,powerPlay,0,311,6588,80264,32.37831116,4.276470184,0
reception,successful,regular,419.73334,outsideNorthEast,oz,powerPlay,0,311,110409,80264,58.02830887,34.95588303,0
pass,successful,north,421.26666,outsideNorthEast,oz,powerPlay,0,311,110409,80264,62.05183792,30.42941284,0
reception,successful,regular,421.96667,outsideNorthEast,oz,powerPlay,0,311,5814,80264,66.07537079,38.97941208,0
shot,failed,outsideblocked,424.06668,outsideNorthEast,oz,powerPlay,0,311,5814,80264,62.05183792,28.92058754,1
pass,successful,slot,426.23334,outsideNorthEast,oz,powerPlay,0,311,5814,80264,74.12242889,37.97352982,0
reception,successful,regular,426.7,eastOuterSlot,oz,powerPlay,0,311,237838,80264,65.57242584,17.85588264,0
pass,successful,none,427.36667,outsideNorthEast,oz,powerPlay,0,311,237838,80264,62.55477905,25.39999962,0
pass,successful,north,427.53333,outsideNorthEast,oz,powerPlay,0,311,237838,80264,62.05183792,27.91470528,0
reception,successful,regular,428.13333,outsideNorthEast,oz,powerPlay,0,311,5814,80264,63.56066132,36.96764755,0
pass,successful,south,428.23334,outsideNorthEast,oz,powerPlay,0,311,5814,80264,61.04595566,36.46470642,0
reception,successful,regular,428.96667,eastPoint,oz,powerPlay,0,311,6588,80264,29.36066437,22.88529396,0
shot,failed,outsideblocked,429,eastPoint,oz,powerPlay,0,311,6588,80264,29.36066437,22.88529396,1
pass,successful,outlet,430.66666,innerSlotDZ,dz,shortHanded,0,315,400162,5152,-77.14793396,-8.299999237,0
reception,successful,regular,431.46667,centerPointDZ,dz,shortHanded,0,315,82048,5152,-47.47440338,-5.785293579,0
pass,successful,d2doffboards,439.53333,outsideNorthWestDZ,dz,evenStrength,0,315,202206,5152,-94.24793243,28.91764832,0
reception,successful,regular,440.66666,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-96.76263428,-21.37647057,0
pass,failed,outlet,441.06668,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-94.75086975,-26.40588188,0
pass,successful,d2doffboards,443.4,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-59.04204941,-39.98529434,0
reception,successful,regular,444.13333,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-62.0596962,-37.97352982,0
pass,successful,outlet,445.43332,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-76.64498901,-32.9441185,0
reception,successful,regular,446.13333,westOuterSlotDZ,dz,evenStrength,0,315,202206,5152,-63.56851959,18.35588074,0
pass,successful,stretchoffboards,452.83334,westPointDZ,dz,evenStrength,0,311,109372,80264,-36.52462769,18.35882378,0
reception,successful,regular,454.76666,northEastBoardsNZ,nz,evenStrength,0,311,1731661,80264,9.745956421,39.48235321,0
pass,failed,eastwest,465.56668,westPoint,oz,evenStrength,0,311,1731661,80264,37.40772247,-30.4264679,0
pass,failed,d2d,469.56668,westOuterSlotDZ,dz,evenStrength,0,315,10534,5152,-63.56851959,16.34411621,0
pass,successful,d2doffboards,471.66666,outsideNorthWestDZ,dz,evenStrength,0,315,78625,5152,-94.75086975,22.37940979,0
reception,successful,regular,472.86667,outsideNorthEastDZ,dz,evenStrength,0,315,202206,5152,-91.73322296,-28.41764641,0
pass,successful,outlet,475.36667,outsideNorthEastDZ,dz,evenStrength,0,315,202206,5152,-59.04204941,-24.39411736,0
reception,successful,regular,476.26666,southEastBoardsNZ,nz,evenStrength,0,315,110856,5152,-19.30970001,31.9352951,0
pass,successful,d2d,481.46667,outsideNorthEastDZ,dz,evenStrength,0,311,5152,80264,-97.87559509,-2.764705658,0
reception,successful,regular,482.1,outsideNorthWestDZ,dz,evenStrength,0,311,80,80264,-92.84619141,18.86176491,0
pass,failed,outlet,483.06668,outsideNorthWestDZ,dz,evenStrength,0,311,80,80264,-91.84030151,30.42941284,0
pass,failed,stretch,488.63333,centerPointDZ,dz,evenStrength,0,315,79380,5152,-43.45087433,-15.34117699,0
reception,failed,regular,489.73334,northEastBoardsNZ,nz,evenStrength,0,315,110856,5152,16.90206909,35.95882416,0
pass,failed,outletoffboards,496.63333,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-81.78147888,-39.98235321,0
pass,failed,northoffboards,499.83334,westPoint,oz,evenStrength,0,315,80518,5152,38.02560425,-26.40588188,0
pass,successful,d2doffboards,502.86667,outsideNorthWestDZ,dz,evenStrength,0,311,108339,80264,-91.84030151,28.41764641,0
reception,successful,regular,504.7,outsideNorthWestDZ,dz,evenStrength,0,311,370192,80264,-96.36677551,6.288234711,0
pass,failed,stretch,506.36667,outsideNorthEastDZ,dz,evenStrength,0,311,370192,80264,-92.34324646,-16.84705734,0
pass,successful,d2d,512.5,outsideNorthWestDZ,dz,evenStrength,0,315,82048,5152,-70.60969543,22.37940979,0
reception,successful,regular,512.56665,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-73.62734222,26.90588379,0
pass,successful,d2doffboards,512.6,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-73.62734222,26.90588379,0
reception,successful,regular,514.2,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-95.75675201,-4.779411316,0
pass,successful,d2d,514.6667,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-92.73910522,-16.34705925,0
reception,successful,regular,515.3333,outsideNorthEastDZ,dz,evenStrength,0,315,126723,5152,-69.10087585,-31.93823624,0
pass,successful,outlet,515.86664,outsideNorthEastDZ,dz,evenStrength,0,315,126723,5152,-64.57440186,-28.92058754,0
reception,successful,regular,516.4667,eastOuterSlotDZ,dz,evenStrength,0,315,20161,5152,-60.04793167,-0.755882263,0
pass,successful,outlet,517.9,centerPointDZ,dz,evenStrength,0,315,20161,5152,-36.40969849,2.261764526,0
reception,successful,regular,518.3333,southCenterNZ,nz,evenStrength,0,315,80518,5152,-20.81851959,-13.32941246,0
pass,failed,slot,522.8,outsideNorthEast,oz,evenStrength,0,315,80518,5152,76.7520752,19.361763,0
pass,successful,eastwest,527.36664,southCenterNZ,nz,evenStrength,0,311,112050,80264,-8.35206604,13.83235359,0
reception,successful,regular,527.9,southCenterNZ,nz,evenStrength,0,311,370192,80264,-3.322654724,-2.764705658,0
pass,successful,ozentry,528.5333,northCenterNZ,nz,evenStrength,0,311,370192,80264,17.8008728,3.270587921,0
reception,successful,ozentry,529.0333,eastPoint,oz,evenStrength,0,311,112050,80264,33.89498901,32.44117737,0
pass,failed,rush,529.93335,eastPoint,oz,evenStrength,0,311,112050,80264,53.00675583,36.96764755,0
pass,failed,south,533.3333,outsideNorthWest,oz,evenStrength,0,311,109964,80264,74.63322449,-39.98235321,0
pass,successful,south,537.73334,southEastBoardsNZ,nz,evenStrength,0,311,6588,80264,-12.87854004,23.89117622,0
reception,successful,regular,538.36664,eastPointDZ,dz,evenStrength,0,311,1312,80264,-26.45794678,-31.43235016,0
pass,successful,stretch,539.3333,eastPointDZ,dz,evenStrength,0,311,1312,80264,-29.98640442,-30.92941284,0
reception,successful,regular,540.36664,northEastBoardsNZ,nz,evenStrength,0,311,370192,80264,4.213600159,27.91470528,0
pass,successful,south,542.1667,southEastBoardsNZ,nz,evenStrength,0,311,370192,80264,-23.95110321,31.4352932,0
reception,successful,regular,543.13336,southWestBoardsNZ,nz,evenStrength,0,311,1312,80264,-24.45404053,-37.46764374,0
pass,failed,outlet,549.4,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-79.15184021,-37.47058868,0
reception,failed,regular,550.06665,eastPointDZ,dz,evenStrength,0,315,884,5152,-48.47242737,-34.95588303,0
pass,successful,south,552.56665,northEastBoardsNZ,nz,evenStrength,0,311,446706,80264,1.195953369,31.4352932,0
reception,successful,regular,554,southWestBoardsNZ,nz,evenStrength,0,311,108339,80264,-11.37757111,-27.40882111,0
pass,successful,d2d,559.7,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-95.24595642,-22.38235283,0
reception,successful,regular,560.2,outsideNorthEastDZ,dz,evenStrength,0,315,884,5152,-75.63124847,-17.35294151,0
pass,successful,outlet,561.3,eastOuterSlotDZ,dz,evenStrength,0,315,884,5152,-71.60771942,-16.85000038,0
reception,successful,regular,562,westPointDZ,dz,evenStrength,0,315,54915,5152,-36.40184021,37.46764374,0
pass,failed,north,563.6667,southEastBoardsNZ,nz,evenStrength,0,315,54915,5152,-21.31360626,38.97647095,0
pass,successful,d2doffboards,572.6667,outsideNorthEastDZ,dz,evenStrength,0,311,5152,80264,-92.85404968,-4.776470184,0
reception,successful,regular,574.3,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-95.87168884,27.91470528,0
pass,successful,d2doffboards,577.8333,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-95.87168884,17.35294151,0
reception,successful,regular,579.63336,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-94.36286926,-20.87059021,0
pass,successful,outlet,580.3333,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-94.36286926,-27.91176605,0
reception,successful,regular,581.93335,southWestBoardsNZ,nz,evenStrength,0,311,2546838,80264,-5.845222473,-39.98235321,0
pass,successful,d2d,585.6,outsideNorthWestDZ,dz,evenStrength,0,315,400162,5152,-64.56654358,29.42058563,0
reception,successful,regular,587.1667,outsideNorthEastDZ,dz,evenStrength,0,315,54915,5152,-64.56654358,-35.45882416,0
pass,successful,ozentrystretch,597.1667,westOuterSlotDZ,dz,evenStrength,0,315,79380,5152,-58.53125,11.3147049,0
reception,successful,ozentry,598.26666,eastPoint,oz,evenStrength,0,315,179172,5152,26.96089172,32.43823242,0
pass,failed,slot,599.1667,eastPoint,oz,evenStrength,0,315,179172,5152,42.05699158,31.9352951,0
pass,successful,outletoffboards,601.3,outsideNorthEastDZ,dz,evenStrength,0,311,237838,80264,-67.20400238,-35.45589828,0
reception,successful,regular,603.26666,southWestBoardsNZ,nz,evenStrength,0,311,111452,80264,-8.862869263,-38.97647095,0
pass,successful,north,604.06665,northWestBoardsNZ,nz,evenStrength,0,311,111452,80264,10.75183868,-39.98235321,0
reception,successful,regular,604.6667,northCenterNZ,nz,evenStrength,0,311,1731661,80264,17.79301453,-9.302940369,0
pass,failed,slot,606.5,centerPoint,oz,evenStrength,0,311,94531,80264,30.36654663,3.773529053,0
pass,successful,d2doffboards,610.9,outsideNorthEastDZ,dz,evenStrength,0,315,56711,5152,-81.17146301,-37.97352982,0
reception,successful,regular,612.1667,outsideNorthEastDZ,dz,evenStrength,0,315,202206,5152,-97.26557922,-1.258823395,0
pass,successful,outlet,614.4667,outsideNorthWestDZ,dz,evenStrength,0,315,202206,5152,-68.09498596,24.39117432,0
reception,successful,regular,615.3333,southWestBoardsNZ,nz,evenStrength,0,315,81408,5152,-5.730285645,-38.97941208,0
pass,successful,d2d,628.56665,outsideNorthEastDZ,dz,evenStrength,0,315,78625,5152,-96.25969696,-5.785293579,0
reception,successful,regular,629.43335,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-91.73322296,8.799999237,0
pass,successful,ozentrystretchoffboards,632.73334,westPointDZ,dz,evenStrength,0,315,79380,5152,-43.95381546,36.96470642,0
reception,successful,ozentry,634.1667,westPoint,oz,evenStrength,0,315,81408,5152,37.5226593,-36.46470642,0
pass,failed,slot,637.06665,outsideNorthWest,oz,evenStrength,0,315,81408,5152,61.66383362,-37.47058868,0
shot,successful,outside,639.8,outsideNorthEast,oz,evenStrength,0,315,79380,5152,84.29618835,33.94705963,0
pass,failed,slot,642.9,outsideNorthWest,oz,evenStrength,0,315,81408,5152,77.75794983,-32.9441185,0
shot,successful,slot,645.06665,eastOuterSlot,oz,evenStrength,1,315,79380,5152,65.68736267,21.37352753,0
